Date,Cases,Deaths
2014-08-29,648,430
2014-09-05,812,517
2014-09-08,862,555
2014-09-12,861,557
2014-09-16,936,595
2014-09-18,942,601
2014-09-22,1008,632
2014-09-24,1022,635
2014-09-26,1074,648
2014-10-01,1157,710
2014-10-03,1199,739
2014-10-08,1298,768
2014-10-10,1350,778
2014-10-15,1472,843
2014-10-17,1519,862
2014-10-22,1540,904
2014-10-25,1553,926
2014-10-29,1906,997
2014-10-31,1667,1018
2014-11-05,1731,1041
2014-11-07,1760,1054
2014-11-12,1878,1142
2014-11-14,1919,1166
2014-11-19,1971,1192
2014-11-21,2047,1214
2014-11-26,2134,1260
2014-12-01,2155,1312
2014-12-03,2164,1327
2014-12-10,2292,1428
2014-12-15,2394,1518
2014-12-17,2416,1525
2014-12-22,2571,1586
2014-12-23,2597,1607
2014-12-24,2597,1607
2014-12-26,2630,1654
2014-12-29,2695,1697
2014-12-30,2706,1708
2014-12-31,2707,1709
2015-01-02,2730,1739
2015-01-05,2769,1767
2015-01-06,2775,1781
2015-01-07,2775,1781
2015-01-08,2776,1786
2015-01-09,2793,1797
2015-01-12,2799,1807
2015-01-13,2799,1807
2015-01-14,2806,1814
2015-01-15,2817,1821
2015-01-16,2825,1829
2015-01-19,2873,1875
2015-01-20,2871,1876
2015-01-21,2871,1876
2015-01-22,2873,1879
2015-01-23,2873,1880
2015-01-26,2909,1906
2015-01-27,2917,1910
2015-01-28,2917,1910
2015-01-29,2921,1911
2015-01-30,2920,1913
2015-02-02,2959,1937
2015-02-03,2975,1944
2015-02-04,2975,1944
2015-02-05,2986,1947
2015-02-06,2988,1957
2015-02-10,3044,1995
2015-02-11,3044,1995
2015-02-12,3068,2018
2015-02-13,3081,2032
2015-02-16,3101,2052
2015-02-17,3108,2057
2015-02-18,3108,2057
2015-02-19,3115,2067
2015-02-20,3120,2072
2015-02-23,3155,2086
2015-02-25,3155,2091
2015-02-26,3175,2101
2015-02-27,3190,2113
2015-03-02,3205,2127
2015-03-04,3205,2127
2015-03-05,3237,2141
2015-03-06,3248,2147
2015-03-10,3285,2170
2015-03-11,3285,2170
2015-03-12,3330,2187
2015-03-13,3331,2192
2015-03-16,3373,2216
2015-03-17,3389,2224
2015-03-18,3389,2224
2015-03-20,3404,2241
2015-03-23,3420,2261
2015-03-24,3429,2263
2015-03-25,3429,2263
2015-03-26,3459,2273
2015-03-27,3466,2276
2015-04-07,3515,2333
2015-04-09,3515,2335
2015-04-13,3541,2342
2015-04-14,3548,2346
2015-04-15,3548,2346
2015-04-16,3566,2348
2015-04-17,3569,2351
2015-04-20,3565,2357
2015-04-21,3565,2358
2015-04-22,3565,2358
2015-04-23,3568,2362
2015-04-24,3576,2365
2015-04-27,3585,2374
2015-04-28,3584,2377
2015-04-30,3581,2381
2015-05-01,3578,2383
2015-05-04,3591,2385
2015-05-05,3589,2386
2015-05-06,3589,2386
2015-05-07,3592,2387
2015-05-08,3592,2387
2015-05-11,3599,2391
2015-05-12,3597,2392
2015-05-13,3599,2391
2015-05-14,3615,2399
2015-05-15,3619,2401
2015-05-18,3626,2405
2015-05-19,3635,2407
2015-05-20,3635,2407
2015-05-21,3649,2409
2015-05-22,3647,2412
2015-05-25,3640,2418
2015-05-26,3641,2420
2015-05-27,3641,2420
2015-05-28,3639,2423
2015-05-29,3644,2425
2015-06-01,3653,2428
2015-06-02,3652,2429
2015-06-03,3652,2429
2015-06-04,3657,2431
2015-06-05,3664,2431
2015-06-08,3669,2435
2015-06-09,3670,2437
2015-06-10,3670,2437
2015-06-11,3674,2440
2015-06-12,3677,2440
2015-06-15,3677,2443
2015-06-16,3678,2444
2015-06-17,3674,2444
2015-06-18,3675,2445
2015-06-19,3674,2446
2015-06-22,3698,2456
2015-06-23,3718,2473
2015-06-24,3718,2473
2015-06-25,3718,2480
2015-06-26,3720,2480
2015-06-29,3724,2482
2015-06-30,3729,2482
2015-07-01,3729,2482
2015-07-02,3745,2490
2015-07-03,3750,2492
2015-07-06,3744,2498
2015-07-07,3748,2499
2015-07-08,3748,2499
2015-07-09,3744,2505
2015-07-10,3751,2505
2015-07-13,3754,2506
2015-07-14,3760,2506
2015-07-15,3760,2506
2015-07-16,3762,2506
2015-07-17,3770,2509
2015-07-20,3784,2511
2015-07-21,3783,2512
2015-07-22,3783,2512
2015-07-23,3788,2516
2015-07-24,3787,2517
2015-07-27,3792,2519
2015-07-28,3786,2520
2015-07-29,3786,2520
2015-07-30,3785,2521
2015-07-31,3781,2521
2015-08-03,3786,2522
2015-08-04,3784,2522
2015-08-05,3784,2522
2015-08-06,3792,2524
2015-08-07,3795,2524
2015-08-10,3791,2524
2015-08-11,3787,2524
2015-08-12,3787,2524
2015-08-13,3792,2524
2015-08-14,3791,2524
2015-08-17,3790,2524
2015-08-18,3786,2524
2015-08-19,3786,2524
2015-08-20,3792,2526
2015-08-21,3795,2526
2015-08-24,3790,2527
2015-08-25,3792,2527
2015-08-26,3792,2527
2015-08-27,3797,2528
2015-08-28,3797,2528
2015-08-31,3790,2528
2015-09-01,3792,2529
2015-09-02,3792,2529
2015-09-03,3792,2529
2015-09-04,3792,2529
2015-09-07,3793,2530
2015-09-08,3792,2530
2015-09-09,3792,2530
2015-09-10,3791,2530
2015-09-11,3791,2530
2015-09-14,3793,2530
2015-09-15,3792,2530
2015-09-16,3792,2530
2015-09-17,3794,2530
2015-09-18,3794,2531
2015-09-21,3797,2532
2015-09-22,3800,2532
2015-09-23,3800,2532
2015-09-24,3801,2533
2015-09-25,3797,2533
2015-09-28,3805,2533
2015-09-29,3805,2533
2015-09-30,3805,2533
2015-10-01,3808,2533
2015-10-02,3809,2533
2015-10-05,3804,2534
2015-10-06,3804,2534
2015-10-07,3804,2534
2015-10-08,3799,2534
2015-10-09,3800,2534
2015-10-13,3800,2534
2015-10-15,3802,2534
2015-10-16,3804,2535
2015-10-20,3803,2535
2015-10-22,3801,2535
2015-10-23,3801,2535
2015-10-26,3804,2535
2015-10-27,3806,2535
2015-10-29,3808,2536
2015-10-30,3808,2536
2015-11-03,3810,2536
2015-11-05,3805,2536
2015-11-06,3805,2536
2015-11-10,3805,2536
2015-11-11,3805,2536
2015-11-12,3805,2536
2015-11-16,3805,2536
2015-11-17,3804,2536
2015-11-20,3804,2536
2015-11-24,3804,2536
2015-11-26,3804,2536
2015-12-01,3804,2536
2015-12-02,3804,2536
2015-12-03,3805,2536
2015-12-09,3804,2536
2015-12-10,3804,2536
2015-12-11,3804,2536
2015-12-15,3807,2536
2015-12-16,3807,2536
2015-12-17,3805,2536
2015-12-22,3804,2536
2015-12-23,3804,2536
2015-12-29,3804,2536
2016-03-23,3804,2536
